price_per_sqm,down_payment_pct,subcity,district,sqm
110000.0,100.0,Kirkos,11.0,1919.0
60000.0,80.0,Kirkos,11.0,1919.0
83667.0,40.0,Kirkos,11.0,1919.0
52300.0,100.0,Nefas - Silk Lafto,15.0,597.0
51300.0,100.0,Nefas - Silk Lafto,15.0,597.0
50301.0,100.0,Nefas - Silk Lafto,15.0,597.0
61101.75,100.0,Nefas - Silk Lafto,15.0,557.0
53860.0,100.0,Nefas - Silk Lafto,15.0,557.0
53860.0,100.0,Nefas - Silk Lafto,15.0,557.0
72009.0,100.0,Nefas - Silk Lafto,15.0,225.0
65112.0,100.0,Nefas - Silk Lafto,15.0,225.0
63888.0,100.0,Nefas - Silk Lafto,15.0,225.0
27027.0,100.0,Nefas - Silk Lafto,14.0,369.0
14092.0,100.0,Nefas - Silk Lafto,14.0,369.0
11502.0,100.0,Nefas - Silk Lafto,14.0,369.0
46624.0,100.0,Nefas - Silk Lafto,14.0,150.0
42019.0,100.0,Nefas - Silk Lafto,14.0,150.0
42000.0,100.0,Nefas - Silk Lafto,14.0,150.0
46624.0,100.0,Nefas - Silk Lafto,14.0,175.0
40313.0,100.0,Nefas - Silk Lafto,14.0,175.0
40100.0,100.0,Nefas - Silk Lafto,14.0,175.0
31500.0,100.0,Nefas - Silk Lafto,14.0,543.0
23511.0,100.0,Nefas - Silk Lafto,14.0,543.0
16200.0,100.0,Nefas - Silk Lafto,14.0,543.0
37100.0,100.0,Nefas - Silk Lafto,13.0,387.0
36176.23,100.0,Nefas - Silk Lafto,13.0,387.0
40100.0,80.0,Nefas - Silk Lafto,13.0,387.0
31600.0,100.0,Addis Ketema,11.0,214.0
30100.0,100.0,Addis Ketema,11.0,214.0
28504.67,100.0,Addis Ketema,11.0,214.0
35461.0,100.0,Kolfe Keranyo,11.0,141.0
35100.0,100.0,Kolfe Keranyo,11.0,141.0
32000.0,90.0,Kolfe Keranyo,11.0,141.0
26500.0,70.0,Kolfe Keranyo,11.0,266.0
11865.0,100.0,Kolfe Keranyo,11.0,266.0
14255.0,70.0,Kolfe Keranyo,11.0,266.0
26100.0,100.0,Kolfe Keranyo,11.0,227.0
18666.0,100.0,Kolfe Keranyo,11.0,227.0
11565.0,100.0,Kolfe Keranyo,11.0,227.0
30210.0,100.0,Kolfe Keranyo,2.0,137.0
25600.0,100.0,Kolfe Keranyo,2.0,137.0
24444.0,100.0,Kolfe Keranyo,2.0,137.0
26150.0,100.0,Kolfe Keranyo,3.0,159.0
19155.0,100.0,Kolfe Keranyo,3.0,159.0
22150.0,70.0,Kolfe Keranyo,3.0,159.0
21500.0,100.0,Kolfe Keranyo,3.0,189.0
20015.0,100.0,Kolfe Keranyo,3.0,189.0
18260.0,100.0,Kolfe Keranyo,3.0,189.0
