price_per_sqm,down_payment_pct,subcity,district,sqm
26531.22,100.0,Lemi Kura,4.0,231.0
31775.0,70.0,Lemi Kura,4.0,231.0
21157.0,100.0,Lemi Kura,4.0,231.0
32621.0,72.0,Lemi Kura,4.0,249.0
18885.0,100.0,Lemi Kura,4.0,249.0
15000.0,50.0,Lemi Kura,4.0,249.0
45475.5,100.0,Lemi Kura,4.0,110.0
39228.0,100.0,Lemi Kura,4.0,110.0
39051.0,100.0,Lemi Kura,4.0,110.0
31150.0,100.0,Lemi Kura,4.0,130.0
35123.0,60.0,Lemi Kura,4.0,130.0
24506.65,100.0,Lemi Kura,4.0,130.0
38122.0,100.0,Lemi Kura,4.0,130.0
31250.0,100.0,Lemi Kura,4.0,130.0
31101.0,100.0,Lemi Kura,4.0,130.0
47891.0,100.0,Lemi Kura,4.0,142.0
40100.0,100.0,Lemi Kura,4.0,142.0
38502.0,100.0,Lemi Kura,4.0,142.0
35384.62,100.0,Lemi Kura,4.0,130.0
35029.0,100.0,Lemi Kura,4.0,130.0
34196.0,100.0,Lemi Kura,4.0,130.0
38642.0,100.0,Lemi Kura,4.0,126.0
31746.03,100.0,Lemi Kura,4.0,126.0
30000.99,100.0,Lemi Kura,4.0,126.0
35021.0,60.0,Lemi Kura,,
32100.0,70.0,Lemi Kura,4.0,205.0
23823.23,100.0,Lemi Kura,4.0,205.0
27600.0,100.0,Lemi Kura,4.0,208.0
21890.0,100.0,Lemi Kura,4.0,208.0
21212.1,100.0,Lemi Kura,4.0,208.0
28150.0,85.0,Lemi Kura,4.0,240.0
21121.0,100.0,Lemi Kura,4.0,240.0
26012.0,70.0,Lemi Kura,4.0,240.0
27600.0,100.0,Lemi Kura,4.0,206.0
23700.0,100.0,Lemi Kura,4.0,206.0
22206.0,100.0,Lemi Kura,4.0,206.0
26723.01,55.0,Lemi Kura,4.0,423.0
18444.0,100.0,Lemi Kura,4.0,423.0
12331.0,100.0,Lemi Kura,4.0,423.0
42000.0,66.0,Lemi Kura,4.0,288.0
21716.1,100.0,Lemi Kura,4.0,288.0
21255.0,100.0,Lemi Kura,4.0,288.0
28050.0,63.0,Lemi Kura,4.0,450.0
21027.0,100.0,Lemi Kura,4.0,450.0
16750.0,100.0,Lemi Kura,4.0,450.0
25111.0,100.0,Lemi Kura,4.0,300.0
23100.0,100.0,Lemi Kura,4.0,300.0
21211.0,100.0,Lemi Kura,4.0,300.0
31621.0,50.0,Lemi Kura,4.0,410.0
25600.0,50.0,Lemi Kura,4.0,410.0
13611.0,100.0,Lemi Kura,4.0,410.0
26111.0,100.0,Lemi Kura,,
26027.0,100.0,Lemi Kura,4.0,302.0
19100.0,100.0,Lemi Kura,4.0,302.0
27650.0,61.0,Lemi Kura,4.0,425.0
13612.0,100.0,Lemi Kura,4.0,425.0
12122.0,100.0,Lemi Kura,4.0,425.0
31027.0,75.0,Lemi Kura,4.0,343.0
15920.0,100.0,Lemi Kura,4.0,343.0
18200.0,60.0,Lemi Kura,4.0,343.0
30500.0,100.0,Lemi Kura,4.0,172.0
23260.0,100.0,Lemi Kura,4.0,172.0
30127.0,55.0,Lemi Kura,4.0,172.0
32999.0,100.0,Lemi Kura,4.0,181.0
30350.0,100.0,Lemi Kura,4.0,181.0
25528.0,100.0,Lemi Kura,4.0,181.0
25528.0,100.0,Lemi Kura,4.0,193.0
23700.0,100.0,Lemi Kura,4.0,193.0
22569.94,100.0,Lemi Kura,4.0,193.0
38721.0,100.0,Lemi Kura,4.0,129.0
38219.0,100.0,Lemi Kura,4.0,129.0
32100.0,100.0,Lemi Kura,4.0,129.0
36210.0,100.0,Lemi Kura,4.0,146.0
36110.0,100.0,Lemi Kura,4.0,146.0
31131.88,100.0,Lemi Kura,4.0,146.0
41221.19,75.0,Lemi Kura,4.0,114.0
29400.0,100.0,Lemi Kura,4.0,114.0
36827.28,70.0,Lemi Kura,4.0,114.0
31219.0,100.0,Lemi Kura,4.0,128.0
21000.0,100.0,Lemi Kura,4.0,128.0
17100.0,100.0,Lemi Kura,4.0,128.0
43500.0,100.0,Lemi Kura,4.0,114.0
35333.0,66.0,Lemi Kura,4.0,114.0
24100.0,100.0,Lemi Kura,4.0,114.0
42121.0,100.0,Lemi Kura,4.0,121.0
37197.0,100.0,Lemi Kura,4.0,121.0
36000.0,100.0,Lemi Kura,4.0,121.0
43525.8,100.0,Lemi Kura,4.0,115.0
41200.0,75.0,Lemi Kura,4.0,115.0
33829.0,100.0,Lemi Kura,4.0,115.0
33521.0,100.0,Lemi Kura,4.0,113.0
36723.21,60.0,Lemi Kura,4.0,113.0
24713.59,100.0,Lemi Kura,4.0,113.0
51217.07,100.0,Lemi Kura,4.0,105.0
36000.0,100.0,Lemi Kura,4.0,105.0
32600.0,100.0,Lemi Kura,4.0,105.0
41300.0,100.0,Lemi Kura,4.0,134.0
32999.99,100.0,Lemi Kura,4.0,134.0
27100.89,100.0,Lemi Kura,4.0,134.0
40512.0,100.0,Lemi Kura,4.0,104.0
55711.0,50.0,Lemi Kura,4.0,104.0
36327.0,100.0,Lemi Kura,4.0,104.0
35100.0,100.0,Lemi Kura,4.0,161.0
30118.0,100.0,Lemi Kura,4.0,161.0
29555.0,100.0,Lemi Kura,4.0,161.0
40200.0,100.0,Lemi Kura,4.0,139.0
36890.0,100.0,Lemi Kura,4.0,139.0
33253.0,100.0,Lemi Kura,4.0,139.0
35100.0,100.0,Lemi Kura,4.0,186.0
27521.0,100.0,Lemi Kura,4.0,186.0
24212.29,100.0,Lemi Kura,4.0,186.0
37100.0,100.0,Lemi Kura,4.0,169.0
29550.0,100.0,Lemi Kura,4.0,169.0
27999.0,100.0,Lemi Kura,4.0,169.0
24700.0,100.0,Lemi Kura,4.0,253.0
22250.0,100.0,Lemi Kura,4.0,253.0
19763.0,100.0,Lemi Kura,4.0,253.0
35527.0,100.0,Lemi Kura,4.0,163.0
35330.0,100.0,Lemi Kura,4.0,163.0
27800.0,100.0,Lemi Kura,4.0,163.0
27210.12,100.0,Lemi Kura,4.0,252.0
19675.0,100.0,Lemi Kura,4.0,252.0
14600.0,100.0,Lemi Kura,4.0,252.0
34980.0,100.0,Lemi Kura,4.0,167.0
33325.0,100.0,Lemi Kura,4.0,167.0
31000.0,100.0,Lemi Kura,4.0,167.0
38952.0,100.0,Lemi Kura,,
23000.0,100.0,Lemi Kura,4.0,251.0
22999.0,100.0,Lemi Kura,4.0,251.0
25109.99,65.0,Lemi Kura,4.0,264.0
16889.0,100.0,Lemi Kura,4.0,264.0
25560.0,48.0,Lemi Kura,4.0,264.0
21110.0,100.0,Lemi Kura,4.0,372.0
24865.0,72.0,Lemi Kura,4.0,372.0
17990.0,100.0,Lemi Kura,4.0,372.0
30039.0,100.0,Lemi Kura,4.0,312.0
19900.0,100.0,Lemi Kura,4.0,312.0
17279.03,100.0,Lemi Kura,4.0,312.0
26725.0,100.0,Lemi Kura,4.0,352.0
18507.52,100.0,Lemi Kura,4.0,352.0
17800.0,100.0,Lemi Kura,4.0,352.0
25714.0,100.0,Lemi Kura,4.0,294.0
18852.0,100.0,Lemi Kura,4.0,294.0
12127.27,100.0,Lemi Kura,4.0,294.0
30101.0,100.0,Lemi Kura,4.0,250.0
25990.0,100.0,Lemi Kura,4.0,250.0
28211.0,82.0,Lemi Kura,4.0,250.0
35150.0,100.0,Lemi Kura,4.0,290.0
26970.0,100.0,Lemi Kura,4.0,290.0
18200.0,100.0,Lemi Kura,4.0,290.0
32150.0,100.0,Lemi Kura,4.0,310.0
17600.0,100.0,Lemi Kura,4.0,310.0
11500.0,100.0,Lemi Kura,4.0,310.0
45600.0,60.0,Lemi Kura,4.0,229.0
25110.0,100.0,Lemi Kura,4.0,229.0
23360.8,100.0,Lemi Kura,4.0,229.0
23928.0,100.0,Lemi Kura,4.0,218.0
23528.0,100.0,Lemi Kura,4.0,218.0
22985.0,100.0,Lemi Kura,4.0,218.0
24700.0,100.0,Lemi Kura,4.0,265.0
24556.0,100.0,Lemi Kura,4.0,265.0
28302.0,71.0,Lemi Kura,4.0,265.0
25319.0,100.0,Lemi Kura,4.0,317.0
33200.32,50.0,Lemi Kura,4.0,317.0
22101.0,100.0,Lemi Kura,4.0,317.0
39005.0,70.0,Lemi Kura,14.0,500.0
30527.21,100.0,Lemi Kura,14.0,500.0
25601.0,100.0,Lemi Kura,14.0,500.0
35527.16,100.0,Lemi Kura,14.0,302.0
33155.0,100.0,Lemi Kura,14.0,302.0
32000.0,100.0,Lemi Kura,14.0,302.0
26899.0,100.0,Lemi Kura,14.0,500.0
26500.0,100.0,Lemi Kura,14.0,500.0
25795.0,100.0,Lemi Kura,14.0,500.0
35527.16,100.0,Lemi Kura,14.0,329.0
31999.0,100.0,Lemi Kura,14.0,329.0
31650.0,100.0,Lemi Kura,14.0,329.0
27012.0,100.0,Lemi Kura,14.0,500.0
26700.0,100.0,Lemi Kura,14.0,500.0
26399.99,100.0,Lemi Kura,14.0,500.0
52656.0,65.0,Lemi Kura,14.0,232.0
33670.0,100.0,Lemi Kura,14.0,232.0
33620.0,100.0,Lemi Kura,14.0,232.0
26999.0,100.0,Lemi Kura,14.0,500.0
